t_start,t_end,availability_time,value
1765033653.97443,1765033654.312765,0.3383347988128662,2
1765033655.014306,1765033655.099764,0.08545804023742676,4
1765033656.020075,1765033656.127888,0.10781288146972656,6
1765033657.027032,1765033657.114742,0.08771014213562012,8
1765033658.035635,1765033658.134247,0.09861207008361816,10
1765033659.040262,1765033659.108452,0.06819009780883789,12
1765033660.04981,1765033660.134648,0.0848381519317627,14
1765033661.057705,1765033661.154381,0.09667611122131348,16
1765033662.063721,1765033662.120554,0.05683302879333496,18
1765033663.06825,1765033663.169775,0.10152506828308105,20
1765033664.074655,1765033664.177746,0.10309100151062012,22
1765033665.083915,1765033665.186834,0.10291910171508789,24
1765033666.094943,1765033666.179542,0.08459901809692383,26
1765033667.103351,1765033667.183972,0.08062076568603516,28
1765033668.111205,1765033668.232598,0.12139296531677246,30
1765033669.122801,1765033669.221126,0.09832501411437988,32
1765033670.127382,1765033670.186846,0.0594639778137207,34
1765033671.134071,1765033671.255863,0.12179183959960938,36
1765033672.140849,1765033672.244353,0.10350394248962402,38
1765033673.159285,1765033673.24514,0.08585500717163086,40
1765033674.166116,1765033674.229848,0.06373190879821777,42
1765033675.174635,1765033675.256741,0.08210611343383789,44
1765033676.183531,1765033676.269972,0.0864410400390625,46
1765033677.18908,1765033677.240217,0.05113697052001953,48
1765033678.193842,1765033678.289306,0.09546399116516113,50
1765033679.202459,1765033679.287133,0.08467388153076172,52
1765033680.210697,1765033680.310864,0.10016703605651855,54
1765033681.218985,1765033681.318555,0.09957003593444824,56
1765033682.225751,1765033682.28403,0.05827903747558594,58
1765033683.232375,1765033683.318842,0.08646702766418457,60
1765033684.241811,1765033684.328849,0.08703804016113281,62
1765033685.248196,1765033685.393948,0.1457521915435791,64
1765033686.252791,1765033686.311952,0.05916118621826172,66
1765033687.258056,1765033687.322298,0.06424212455749512,68
1765033688.263374,1765033688.332468,0.06909394264221191,70
1765033689.269856,1765033689.326324,0.05646800994873047,72
1765033690.275186,1765033690.38062,0.10543394088745117,74
1765033691.28289,1765033691.400714,0.11782383918762207,76
1765033692.287294,1765033692.345492,0.058197975158691406,78
1765033693.292775,1765033693.388022,0.09524703025817871,80
1765033694.299477,1765033694.401311,0.10183382034301758,82
1765033695.304941,1765033695.488205,0.18326401710510254,84
1765033696.311496,1765033696.381761,0.07026505470275879,86
1765033697.317837,1765033697.406223,0.08838605880737305,88
1765033698.325415,1765033698.404863,0.07944822311401367,90
1765033699.337078,1765033699.422193,0.08511495590209961,92
1765033700.338805,1765033700.398037,0.05923199653625488,94
1765033701.344077,1765033701.495746,0.15166878700256348,96
1765033702.348437,1765033702.397976,0.04953885078430176,98
1765033703.353851,1765033703.41245,0.058598995208740234,100
1765033704.361372,1765033704.485558,0.12418603897094727,102
1765033705.368774,1765033705.469376,0.1006021499633789,104
1765033706.373892,1765033706.425308,0.05141592025756836,106
1765033707.379618,1765033707.476566,0.09694814682006836,108
1765033708.386126,1765033708.486935,0.10080885887145996,110
1765033709.391655,1765033709.439573,0.047918081283569336,112
1765033710.395831,1765033710.481164,0.08533287048339844,114
1765033711.401774,1765033711.488185,0.0864109992980957,116
1765033712.40909,1765033712.496203,0.0871129035949707,118
1765033713.416171,1765033713.528767,0.11259603500366211,120
1765033714.42285,1765033714.525918,0.10306811332702637,122
1765033715.428721,1765033715.486478,0.05775713920593262,124
1765033716.434237,1765033716.524911,0.09067392349243164,126
1765033717.443943,1765033717.548227,0.10428404808044434,128
1765033718.450954,1765033718.51538,0.06442594528198242,130
1765033719.456633,1765033719.542182,0.08554887771606445,132
1765033720.463183,1765033720.536167,0.07298398017883301,134
1765033721.46819,1765033721.524282,0.056092023849487305,136
1765033722.475877,1765033722.556471,0.08059406280517578,138
1765033723.482731,1765033723.533157,0.05042600631713867,140
1765033724.488549,1765033724.566021,0.07747197151184082,142
1765033725.495174,1765033725.584452,0.08927798271179199,144
1765033726.504909,1765033726.588298,0.0833890438079834,146
1765033727.513986,1765033727.589417,0.07543087005615234,148
1765033728.522267,1765033728.608779,0.08651185035705566,150
1765033729.52823,1765033729.580027,0.05179715156555176,152
1765033730.532295,1765033730.620118,0.08782291412353516,154
1765033731.537516,1765033731.618059,0.08054280281066895,156
1765033732.541716,1765033732.596094,0.05437779426574707,158
1765033733.547676,1765033733.641532,0.0938558578491211,160
1765033734.553604,1765033734.637819,0.08421516418457031,162
1765033735.558349,1765033735.605494,0.04714512825012207,164
1765033736.563194,1765033736.644805,0.08161091804504395,166
1765033737.569121,1765033737.670906,0.10178518295288086,168
1765033738.575373,1765033738.653327,0.07795405387878418,170
1765033739.580354,1765033739.643221,0.0628669261932373,172
1765033740.589091,1765033740.669388,0.08029699325561523,174
1765033741.595968,1765033741.679677,0.0837090015411377,176
1765033742.607939,1765033742.684599,0.0766599178314209,178
1765033743.614487,1765033743.678629,0.06414198875427246,180
1765033744.62023,1765033744.69528,0.07505011558532715,182
1765033745.633592,1765033745.730561,0.0969691276550293,184
1765033746.638913,1765033746.722307,0.08339405059814453,186
1765033747.643661,1765033747.698941,0.05527997016906738,188
1765033748.650106,1765033748.702969,0.052863121032714844,190
1765033749.655453,1765033749.71745,0.0619969367980957,192
1765033750.661556,1765033750.758769,0.0972130298614502,194
1765033751.671233,1765033751.758043,0.08681011199951172,196
1765033752.679544,1765033752.784663,0.10511898994445801,198
1765033753.692037,1765033753.764794,0.07275700569152832,200
1765033754.699284,1765033754.753745,0.054461002349853516,202
1765033755.706902,1765033755.78574,0.07883787155151367,204
1765033756.714102,1765033756.792163,0.07806086540222168,206
1765033757.724584,1765033757.813444,0.08885979652404785,208
1765033758.735169,1765033758.819142,0.08397316932678223,210
1765033759.741523,1765033759.826472,0.08494901657104492,212
1765033760.747761,1765033760.832412,0.08465099334716797,214
1765033761.758377,1765033761.850092,0.09171485900878906,216
1765033762.764607,1765033762.815244,0.050637006759643555,218
1765033763.76882,1765033763.821356,0.0525360107421875,220
1765033764.773894,1765033764.856376,0.08248186111450195,222
1765033765.7814,1765033765.856646,0.07524609565734863,224
1765033766.787899,1765033766.865146,0.07724690437316895,226
1765033767.79485,1765033767.843454,0.04860377311706543,228
1765033768.801329,1765033768.851383,0.050054073333740234,230
1765033769.807091,1765033770.021633,0.21454191207885742,232
1765033770.815392,1765033770.876484,0.06109189987182617,234
1765033771.820838,1765033771.877922,0.057084083557128906,236
1765033772.825685,1765033772.924586,0.09890103340148926,238
1765033773.830976,1765033773.924118,0.09314203262329102,240
1765033774.838201,1765033774.916586,0.0783848762512207,242
1765033775.846409,1765033775.922963,0.0765538215637207,244
1765033776.851989,1765033776.904775,0.05278587341308594,246
1765033777.857252,1765033777.918404,0.06115221977233887,248
1765033778.868334,1765033778.96688,0.09854602813720703,250
1765033779.875632,1765033779.965699,0.09006690979003906,252
1765033780.882111,1765033780.929761,0.04764986038208008,254
1765033781.887872,1765033781.968207,0.08033490180969238,256
1765033782.895739,1765033782.953346,0.05760693550109863,258
1765033783.904552,1765033783.979883,0.07533097267150879,260
1765033784.910103,1765033784.96086,0.05075693130493164,262
