Device,Max Risk,Avg Risk,Num Paths
192.168.56.50,0.7959183673469388,0.603231,97883
192.168.56.51,0.7959183673469388,0.613395,82708
192.168.56.52,0.7959183673469388,0.622799,63177
192.168.56.53,0.7959183673469388,0.577447,34582
192.168.56.54,0.7959183673469388,0.598852,32948
192.168.56.55,0.7959183673469388,0.569983,39484
192.168.56.56,0.7959183673469388,0.579706,36216
192.168.56.57,0.7959183673469388,0.598852,32948
192.168.56.58,0.7959183673469388,0.598852,32948
192.168.56.59,0.7959183673469388,0.598852,32948
192.168.56.60,0.7959183673469388,0.569983,39484
192.168.56.61,0.7959183673469388,0.579706,36216
