t_start,t_end,availability_time,value
1763722869.712128,1763722869.813545,0.10141706466674805,2
1763722870.215055,1763722870.467316,0.2522609233856201,6
1763722870.718869,1763722871.032812,0.31394314765930176,8
1763722871.222416,1763722871.50176,0.2793440818786621,10
1763722871.726463,1763722872.044349,0.3178858757019043,12
1763722872.230741,1763722872.503713,0.27297186851501465,14
1763722872.738911,1763722872.980305,0.24139404296875,16
1763722873.247167,1763722873.479928,0.23276090621948242,18
1763722873.755144,1763722874.05803,0.3028860092163086,20
1763722874.260341,1763722874.478063,0.21772217750549316,22
1763722874.769342,1763722874.964175,0.19483304023742676,24
1763722875.274405,1763722875.475278,0.20087289810180664,26
1763722875.780439,1763722876.07424,0.29380106925964355,28
1763722876.284857,1763722876.460507,0.17564988136291504,30
1763722876.789341,1763722877.00232,0.21297907829284668,32
1763722877.294034,1763722877.50848,0.2144460678100586,34
1763722877.799631,1763722877.995501,0.19586992263793945,36
1763722878.304059,1763722878.488176,0.18411707878112793,38
1763722878.814438,1763722879.030769,0.21633100509643555,40
1763722879.321859,1763722879.522751,0.20089221000671387,42
1763722879.830729,1763722880.017403,0.18667387962341309,44
1763722880.336624,1763722880.505319,0.16869521141052246,46
1763722880.840872,1763722881.042198,0.2013258934020996,48
1763722881.345379,1763722881.611507,0.2661278247833252,50
1763722881.851636,1763722882.333918,0.4822821617126465,52
1763722882.359728,1763722882.791913,0.43218493461608887,54
1763722882.868061,1763722883.044081,0.17601990699768066,56
1763722883.374645,1763722883.547478,0.17283296585083008,58
1763722883.88023,1763722884.160935,0.28070497512817383,60
1763722884.386132,1763722884.646406,0.26027393341064453,62
1763722884.893065,1763722885.077431,0.18436598777770996,64
1763722885.400839,1763722885.615496,0.21465682983398438,66
1763722885.908749,1763722886.096775,0.18802595138549805,68
1763722886.416336,1763722886.604327,0.18799090385437012,70
1763722886.924022,1763722887.142318,0.21829605102539062,72
1763722887.429545,1763722887.619062,0.18951702117919922,74
1763722887.934069,1763722888.120198,0.18612909317016602,76
1763722888.438199,1763722888.613321,0.17512202262878418,78
1763722888.944781,1763722889.142203,0.19742202758789062,80
1763722889.448576,1763722889.618508,0.16993212699890137,82
1763722889.952615,1763722890.135827,0.1832120418548584,84
1763722890.460208,1763722890.651073,0.19086503982543945,86
1763722890.966383,1763722891.140608,0.1742250919342041,88
1763722891.471391,1763722891.682202,0.21081113815307617,90
1763722891.976807,1763722892.188094,0.2112867832183838,92
1763722892.481294,1763722892.708454,0.22715997695922852,94
1763722892.989848,1763722893.194033,0.20418500900268555,96
1763722893.500757,1763722893.692825,0.19206809997558594,98
1763722894.005634,1763722894.18141,0.17577600479125977,100
1763722894.512841,1763722894.716812,0.20397090911865234,102
1763722895.0197,1763722895.19083,0.17112994194030762,104
1763722895.529421,1763722895.722645,0.1932239532470703,106
1763722896.042015,1763722896.213487,0.17147183418273926,108
1763722896.546582,1763722896.723851,0.17726898193359375,110
1763722897.051405,1763722897.215757,0.1643519401550293,112
1763722897.556885,1763722897.759217,0.2023320198059082,114
1763722898.061277,1763722898.242126,0.1808490753173828,116
1763722898.568219,1763722898.763827,0.19560813903808594,118
1763722899.072562,1763722899.257589,0.1850271224975586,120
1763722899.578893,1763722899.78533,0.2064371109008789,122
1763722900.085492,1763722900.28069,0.19519805908203125,124
1763722900.593102,1763722900.790998,0.19789600372314453,126
1763722901.101014,1763722901.282505,0.18149113655090332,128
1763722901.605492,1763722901.803173,0.19768095016479492,130
1763722902.112841,1763722902.316834,0.2039930820465088,132
1763722902.620679,1763722902.799569,0.17888998985290527,134
1763722903.125591,1763722903.320729,0.19513797760009766,136
1763722903.629077,1763722903.863942,0.2348649501800537,138
1763722904.136145,1763722904.321003,0.18485784530639648,140
1763722904.644052,1763722904.823499,0.17944693565368652,142
1763722905.152774,1763722905.382511,0.2297368049621582,144
1763722905.663871,1763722905.831422,0.16755104064941406,146
1763722906.171167,1763722906.386343,0.21517610549926758,148
1763722906.678587,1763722906.893109,0.214522123336792,150
1763722907.185343,1763722907.382643,0.19729995727539062,152
1763722907.690609,1763722907.876917,0.1863079071044922,154
1763722908.196738,1763722908.397705,0.20096707344055176,156
1763722908.704766,1763722908.891081,0.18631505966186523,158
1763722909.211376,1763722909.379081,0.16770505905151367,160
1763722909.716127,1763722909.891395,0.17526817321777344,162
1763722910.219091,1763722910.407528,0.18843698501586914,164
1763722910.724156,1763722910.884597,0.16044116020202637,166
1763722911.230375,1763722911.391916,0.16154098510742188,168
1763722911.736007,1763722911.909051,0.17304396629333496,170
1763722912.243373,1763722912.4224,0.17902708053588867,172
1763722912.750837,1763722912.920607,0.1697700023651123,174
1763722913.258032,1763722913.432537,0.17450499534606934,176
1763722913.764277,1763722914.007904,0.24362707138061523,178
1763722914.269926,1763722914.430747,0.16082096099853516,180
1763722914.775814,1763722914.941433,0.165618896484375,182
1763722915.279214,1763722915.446498,0.1672840118408203,184
1763722915.782616,1763722915.960521,0.17790508270263672,186
1763722916.289548,1763722916.460668,0.17112016677856445,188
1763722916.797876,1763722916.969303,0.17142701148986816,190
1763722917.306436,1763722917.487979,0.18154287338256836,192
1763722917.814141,1763722918.025073,0.21093201637268066,194
1763722918.31847,1763722918.494703,0.17623305320739746,196
1763722918.826047,1763722919.061303,0.23525595664978027,198
1763722919.332548,1763722919.513244,0.1806960105895996,200
